event,team,fixture_difficulty,GS,GA,opponent,is_home
13.0,1,2,2.0,2.0,16,1
13.0,2,2,2.0,0.0,13,1
13.0,3,3,1.0,2.0,20,1
13.0,4,4,0.0,2.0,9,1
13.0,5,2,3.0,0.0,18,0
13.0,6,5,1.0,2.0,11,0
13.0,7,4,1.0,2.0,10,1
13.0,8,2,0.0,2.0,14,1
13.0,9,3,2.0,0.0,4,0
13.0,10,2,2.0,1.0,7,0
13.0,11,4,2.0,1.0,6,1
13.0,12,3,3.0,3.0,15,0
13.0,13,2,0.0,2.0,2,0
13.0,14,3,2.0,0.0,8,0
13.0,15,4,3.0,3.0,12,1
13.0,16,4,2.0,2.0,1,0
13.0,17,2,3.0,2.0,19,0
13.0,18,2,0.0,3.0,5,1
13.0,19,4,2.0,3.0,17,1
13.0,20,3,2.0,1.0,3,0
